unctad_case_id,case_name,short_case_name,year_of_initiation,italaw_link,applicable_iia,respondent_state,investor_nationality,investment_summary,economic_sector,arbitral_rules,administering_institution,case_status,decisions,amount_claimed_usd,amount_awarded_usd,breaches_alleged,breaches_found,follow_on_proceedings,fetch_status
11,FEDAX v. Venezuela,FEDAX v. Venezuela,1996.0,http://www.italaw.com/cases/432,"Netherlands - Venezuela, Bolivarian Republic of BIT (1991)","Venezuela, Bolivarian Republic of",Netherlands,Details of investment Ownership of government promissory notes. Summary of the dispute Claims arising out of the alleged lack of payment of certain debt instruments issued by the Government which were assigned by way of endorsement to the claimant.,"Economic sector | Tertiary: K - Financial and insurance activities | Economic subsector | 64 - Financial service activities, except insurance and pension funding",ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Decided in favour of investor,Decision on Jurisdiction dated 11 July 1997 Award dated 9 March 1998,0.60 mln USD,0.60 mln USD,Umbrella clause,Umbrella clause,Type of follow-on proceedings None,success
12,Sedelmayer v. Russia,Sedelmayer v. Russia,1996.0,http://www.italaw.com/cases/982,Germany - Russian Federation BIT (1989),Russian Federation,Germany,Details of investment Property rights in joint stock company engaged in the delivery of law enforcement equipment and relevant training. Summary of the dispute Claims arising out of the alleged confiscation of the investor's property as a result of certain directive issued by the President of the Russian Federation ordering transfer of the claimant's assets to a state agency.,Economic sector | Tertiary: N - Administrative and support service activities | Economic subsector | 80 - Security and investigation activities,SCC (Stockholm Chamber of Commerce),SCC (Stockholm Chamber of Commerce),Decided in favour of investor,Arbitration Award dated 7 July 1998 Dissenting Opinion of Arbitrator Prof. Ivan S. Zykin (Arbitration Award),7.60 mln USD,2.30 mln USD,Direct expropriation,Direct expropriation,Type of follow-on proceedings Judicial review by national courts Judicial review by national courts Status Award/decision upheld Decisions Judgment of the City Court of Stockholm dated 18 December 2002 Judgment of the Svea Court of Appeal dated 15 June 2005,success
13,Vivendi v. Argentina (I),Vivendi v. Argentina (I),1997.0,http://www.italaw.com/cases/309,Argentina - France BIT (1991),Argentina,France,"Details of investment Rights under a concession contract concluded between claimant's Argentine affiliate company and the Province of Tucumán for operating the water and sewage system of Tucumán. Summary of the dispute Claims arising out of a series of decrees, resolutions, laws, and legal opinions of the Argentine Republic and its constituent Province of Tucumán which were allegedly designed to undermine the operation of a thirty-year water and sewerage concession contract.","Economic sector | Tertiary: E - Water supply; sewerage, waste management and remediation activities | Tertiary: E - Water supply; sewerage, waste management and remediation activities | Economic subsector | 36 - Water collection, treatment and supply | 37 - Sewerage",ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Decided in favour of investor,Award dated 21 November 2000,317.00 mln USD,105.00 mln USD,"Indirect expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsFull protection and security, or similar","Indirect expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claims","Type of follow-on proceedings ICSID annulment proceedings ICSID resubmission proceedings ICSID annulment proceedings ICSID annulment proceedings Status Award/decision partially annulled Decisions Decision on Annulment dated 3 July 2002 ICSID Annulment Committee Fortier, L. Y. (President) Crawford, J. R. (Member) Fernández Rozas, J. C. (Member) ICSID resubmission proceedings Status Decided in favour of the investor Decisions Award II dated 20 August 2007 ICSID annulment proceedings Status Award/decision upheld Decisions Decision on the Argentine Republic’s Request for Annulment of the Award rendered on 20 August 2007 dated 10 August 2010 ICSID Annulment Committee El-Kosheri, A. S. (President) Jacovides, A. J. (Member) Dalhuisen, J. H. (Member)",success
14,Lanco v. Argentina,Lanco v. Argentina,1997.0,http://www.italaw.com/cases/608,Argentina - United States BIT (1991),Argentina,United States of America,"Details of investment Shareholding in company having a concession agreement for the development and operation of a port terminal in the city of Buenos Aires. Summary of the dispute Claims arising out of the alleged breach of a concession agreement entered into between the Argentinean Ministry of Public Works and Services on the one hand, and Lanco International on the other, for the development and operation of a port terminal in Buenos Aires.",Economic sector | Tertiary: F - Construction | Economic subsector | 43 - Specialized construction activities,ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Discontinued,"Jurisdiction of the Arbitral Tribunal dated 8 December 1998 Order taking note of the discontinuance issued by the Tribunal dated 17 October 2000, pursuant to Arbitration Rule 44",Data not available,Data not available,"Indirect expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsFull protection and security, or similarUmbrella clause",Not applicable - settled or discontinued before decision on liability,Type of follow-on proceedings None,success
15,CSOB. v. Slovakia,CSOB. v. Slovakia,1997.0,http://www.italaw.com/cases/238,Czech Republic - Slovakia BIT (1992),Slovakia,Czechia,"Details of investment Rights under certain consolidation agreement concluded among the Czech Republic, Slovakia and ČSOB concerning the claimant's financial restructuring. Summary of the dispute Claims arising out of the alleged breach of a financial consolidation agreement concluded among the Czech Republic, the Slovak Republic and ČSOB in relation to the bank’s financial restructuring in advance of its then planned privatization","Economic sector | Tertiary: K - Financial and insurance activities | Economic subsector | 64 - Financial service activities, except insurance and pension funding",ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Decided in favour of investor,Decision of the Tribunal on Objections to Jurisdiction dated 24 May 1999 Decision of the Tribunal on Respondent’s Further and Partial Objection to Jurisdiction dated 1 December 2000 Award dated 29 December 2004,40300.00 mln SKK (1132.00 mln USD),24800.00 mln SKK (867.80 mln USD),"Fair and equitable treatment/Minimum standard of treatment, including denial of justice claimsFull protection and security, or similar","Fair and equitable treatment/Minimum standard of treatment, including denial of justice claimsFull protection and security, or similar",Type of follow-on proceedings None,success
16,Ethyl v. Canada,Ethyl v. Canada,1997.0,http://www.italaw.com/cases/409,NAFTA (1992),Canada,United States of America,Details of investment Sole shareholder of company acting as the only importer and distributer of MMT (fuel additive) across Canada. Summary of the dispute Claims arising out of a Canadian statute banning imports of the gasoline additive MMT for use in unleaded gasoline.,"Economic sector | Secondary: C - Manufacturing | Tertiary: G - Wholesale and retail trade; repair of motor vehicles and motorcycles | Economic subsector | 20 - Manufacture of chemicals and chemical products | 46 - Wholesale trade, except of motor vehicles and motorcycles",UNCITRAL,None (no administering institution),Settled,Award on Jurisdiction dated 24 June 1998,251.00 mln USDAwarded through settlement13.00 mln USD,,Indirect expropriationNational treatmentPerformance requirements,Not applicable - settled or discontinued before decision on liability,Type of follow-on proceedings None,success
17,Metalclad v. Mexico,Metalclad v. Mexico,1997.0,http://www.italaw.com/cases/671,NAFTA (1992),Mexico,United States of America,Details of investment Ownership of landfill property as well as permits and licenses for the development and operation of a hazardous waste disposal enterprise. Summary of the dispute Claims arising out of the alleged interference of the Mexican local governments of San Luis Potosí and Guadalcázar with the investor's development and operation of a hazardous waste landfill.,"Economic sector | Tertiary: E - Water supply; sewerage, waste management and remediation activities | Economic subsector | 38 - Waste collection, treatment and disposal activities; materials recovery",ICSID AF (ICSID Additional Facility),ICSID (International Centre for Settlement of Investment Disputes),Decided in favour of investor,Award dated 30 August 2000,90.00 mln USD,16.70 mln USD,"Indirect expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsFull protection and security, or similar","Indirect expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsFull protection and security, or similar","Type of follow-on proceedings Judicial review by national courts Judicial review by national courts Status Award/decision partially set aside Decisions The United Mexican States v. Metalclad Corporation, Decision of the Supreme Court of British Columbia on the challenge by the Petitioner, The United Mexican States, of the Arbitration Award issued on 30 August 2000, 2001 BCSC 664 dated 2 May 2001",success
18,Azinian v. Mexico,Azinian v. Mexico,1997.0,http://www.italaw.com/cases/114,NAFTA (1992),Mexico,United States of America,Details of investment Shareholding in local company that held a concession contract with the local government for waste collection and disposal. Summary of the dispute Claims arising out of the cancellation by the Mexican city council of Naucalpan of a concession contract for commercial and industrial waste collection.,"Economic sector | Tertiary: E - Water supply; sewerage, waste management and remediation activities | Economic subsector | 38 - Waste collection, treatment and disposal activities; materials recovery",ICSID AF (ICSID Additional Facility),ICSID (International Centre for Settlement of Investment Disputes),Decided in favour of State,Award dated 1 November 1999,19.20 mln USD,Data not available,"Indirect expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsNational treatment",None - all claims dismissed at the merits stage,Type of follow-on proceedings None,success
19,Maffezini v. Spain,Maffezini v. Spain,1997.0,http://www.italaw.com/cases/641,Argentina - Spain BIT (1991),Spain,Argentina,"Details of investment Shareholding in company engaged in the production and distribution of chemical products in the Spanish region of Galicia. Summary of the dispute Claims arising out of the discontinuance of the company's activities due to an internal financial crisis allegedly attributed to Spain, including allegations of misinforming the claimant on the costs of the project and involving alleged unauthorized bank transfers.",Economic sector | Secondary: C - Manufacturing | Economic subsector | 20 - Manufacture of chemicals and chemical products,ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Decided in favour of investor,Decision of the Tribunal on Objections to Jurisdiction dated 25 January 2000 Award dated 13 November 2000,Data not available,30.00 mln ESP (0.15 mln USD),"Fair and equitable treatment/Minimum standard of treatment, including denial of justice claimsTransfer of fundsOther","Fair and equitable treatment/Minimum standard of treatment, including denial of justice claimsOther",Type of follow-on proceedings None,success
20,Myers v. Canada,Myers v. Canada,1998.0,http://www.italaw.com/cases/969,NAFTA (1992),Canada,United States of America,"Details of investment Corporation engaged in treatment of Polychlorinated biphenyl (PCB); ownership of local subsidiary engaged in related activities. Summary of the dispute Claims arising out of Canada's ban on the export of PCB wastes from Canada to the United States in late 1995 and alleged economic harm to the investor resulting from the imposition of such ban through interference with its operations, lost contracts and opportunities in Canada.","Economic sector | Tertiary: E - Water supply; sewerage, waste management and remediation activities | Economic subsector | 38 - Waste collection, treatment and disposal activities; materials recovery",UNCITRAL,None (no administering institution),Decided in favour of investor,Final Award (concerning the apportionment of costs between the Disputing Parties) dated 30 December 2002 Dissenting Opinion of Professor Bryan P. Schwartz concerning the apportionment of costs between the Disputing Parties (Final Award) Partial Award dated 13 November 2000 (Merits) Second Partial Award dated 2 December 2002 (Damages),70.90 mln USD,6.00 mln CAD (3.80 mln USD),"Indirect expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsNational treatmentPerformance requirements","Fair and equitable treatment/Minimum standard of treatment, including denial of justice claimsNational treatment","Type of follow-on proceedings Judicial review by national courts Judicial review by national courts Status Award/decision upheld Decisions Attorney General of Canada v. S.D. Myers, Statutory Review in the Federal Court of Canada, Reasons for Order dated 13 January 2004",success
21,Schaper v. Poland,Schaper v. Poland,1998.0,,Germany - Poland BIT (1989),Poland,Germany,Details of investment Shareholding in company engaged in the import of waste-paper into Poland. Summary of the dispute Claims arising out of the prohibition on importation of raw material waste paper pursuant to a statutory amendment concerning environmental protection.,"Economic sector | Tertiary: E - Water supply; sewerage, waste management and remediation activities | Economic subsector | 38 - Waste collection, treatment and disposal activities; materials recovery",UNCITRAL,None (no administering institution),Discontinued,Final Partial Award dated 22 August 2006 Dissent of Andrzej Tynel Order for the termination of the proceedings dated 23 February 2009,3.00 mln USD,Data not available,Data not available,Not applicable - settled or discontinued before decision on liability,Type of follow-on proceedings Data not available,success
22,Pey Casado and Allende Foundation v. Chile,Pey Casado and Allende Foundation v. Chile,1998.0,http://www.italaw.com/cases/829,Chile - Spain BIT (1991),Chile,Spain,"Details of investment Majority shareholding in a Chilean newspaper. Summary of the dispute Claims arising out of the confiscation and eventual expropriation in the 1970s of the newspaper El Clarín, of which Victor Pey Casado and the President Allende Foundation claimed ownership.",Economic sector | Tertiary: J - Information and communication | Economic subsector | 58 - Publishing activities,ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Decided in favour of investor,Decision on Jurisdiction dated 8 May 2002 Award dated 8 May 2008,515.00 mln USD,10.00 mln USD,"Direct expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsOther","Fair and equitable treatment/Minimum standard of treatment, including denial of justice claims","Type of follow-on proceedings Judicial review by national courts ICSID annulment proceedings ICSID resubmission proceedings ICSID annulment proceedings Judicial review by national courts Status Award/decision upheld Decisions Resolution of Spanish Court of First Instance dated 6 March 2013 Decision of Spanish Court on Execution of Award dated 4 July 2013 ICSID annulment proceedings Status Award/decision partially annulled Decisions Decision on the Application for Annulment of the Republic of Chile dated 18 December 2012 Decision on Admissibility of the Application for Annulment dated 4 May 2010 Decision on Chile's Request for a Stay of Enforcement of the Unannulled Portion of the Award dated 16 May 2013 Decision on the Republic of Chile's Request for Supplementation of the Annulment Decision dated 11 September 2013 ICSID resubmission proceedings Status Neither investor nor the State (liability found but no damages awarded) Decisions Award dated 13 September 2016 ICSID annulment proceedings Status Award/decision upheld Decisions Decision on Annulment dated 8 January 2020 (English) Concurring Opinion of Nicolas Angelet (English) Decision on Annulment dated 8 January 2020 (French) Concurring Opinion of Nicolas Angelet (French) ICSID Annulment Committee Knieper, R. (President) Zhang, Y. (Member) Angelet, N. (Member)",success
23,Compagnie Minière v. Peru,Compagnie Minière v. Peru,1998.0,,France - Peru BIT (1993),Peru,France,Details of investment Shareholding in project company for the construction and operation of a gold mine in Peru. Summary of the dispute Claims arising out of disagreements over a gold exploitation project for the construction and operation of a gold mine in the highlands of northern Peru.,Economic sector | Primary: B - Mining and quarrying | Economic subsector | 7 - Mining of metal ores,ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Settled,"Order taking note of the discontinuance of the proceeding issued by the Secretary-General dated 23 February 2001, pursuant to Arbitration Rule 43(1)",Data not availableAwarded through settlementData not available,,Data not available,Not applicable - settled or discontinued before decision on liability,Type of follow-on proceedings None,success
24,Loewen v. USA,Loewen v. USA,1998.0,http://www.italaw.com/cases/632,NAFTA (1992),United States of America,Canada,Details of investment Stock holding in corporation dedicated to funeral home operations. Summary of the dispute Claims arising out of alleged mistreatment caused to the investor by the state of Mississippi in the course of commercial litigation between the claimant and one of its competitors in the funeral home and funeral insurance business.,Economic sector | Tertiary: S - Other service activities | Economic subsector | 96 - Other personal service activities,ICSID AF (ICSID Additional Facility),ICSID (International Centre for Settlement of Investment Disputes),Decided in favour of State,Decision on Hearing of Respondent's Objection to Competence and Jurisdiction dated 5 January 2001 Award dated 26 June 2003,725.00 mln USD,Data not available,"Indirect expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsFull protection and security, or similarNational treatment",None - all claims dismissed at the merits stage,"Type of follow-on proceedings Judicial review by national courts Judicial review by national courts Status Award/decision upheld Decisions Raymond L. Loewen v. United States of America, United States District Court for the District of Columbia, Civil Action No. 04-2151, Memorandum Opinion dated 31 October 2005",success
25,Olguin v. Paraguay,Olguin v. Paraguay,1998.0,http://www.italaw.com/cases/776,Paraguay - Peru BIT (1994),Paraguay,Peru,"Details of investment Capital contributions to finance the installation of a corn products plant in Paraguay; ownership of investment titles in return for such contributions. Summary of the dispute Claims arising out of the alleged mistreatment received by Mr. Olguin from the Paraguayan authorities relating to his investment in a company for the manufacture and distribution of food products in Paraguay, including the alleged Government's failure to properly supervise the financial institution where the claimant's capital contributions were deposited.",Economic sector | Secondary: C - Manufacturing | Economic subsector | 10 - Manufacture of food products,ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Decided in favour of State,Decision on Jurisdiction dated 8 August 2000 Award dated 26 July 2001,2407.00 mln PYG (1.30 mln USD),Data not available,"Indirect expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claims",None - all claims dismissed at the merits stage,Type of follow-on proceedings None,success
26,Waste Management v. Mexico (I),Waste Management v. Mexico (I),1998.0,http://www.italaw.com/cases/1155,NAFTA (1992),Mexico,United States of America,"Details of investment Rights under a waste management concession agreement held by claimant's local subsidiary company. Summary of the dispute Claims arising out of the alleged breach of a 15-year concession granted by the State of Guerrero and the municipality of Acapulco to Acaverde, USA Waste's Mexican subsidiary, for public waste management services.","Economic sector | Tertiary: E - Water supply; sewerage, waste management and remediation activities | Economic subsector | 38 - Waste collection, treatment and disposal activities; materials recovery",ICSID AF (ICSID Additional Facility),ICSID (International Centre for Settlement of Investment Disputes),Decided in favour of State,Arbitral Award dated 2 June 2000 Dissenting Opinion of Keith Highet (Arbitral Award),36.00 mln USD,Data not available,"Indirect expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claims",None - jurisdiction declined,Type of follow-on proceedings None,success
27,Houston Industries v. Argentina,Houston Industries v. Argentina,1998.0,https://www.italaw.com/cases/3573,Argentina - United States BIT (1991),Argentina,United States of America,Details of investment Rights under a concession agreement for the provision of electricity distribution services in Argentina. Summary of the dispute Claims arising out of disagreements over a concession agreement for the provision of electricity distribution services in the Santiago del Estero province in Argentina.,"Economic sector | Tertiary: D - Electricity, gas, steam and air conditioning supply | Economic subsector | 35 - Electricity, gas, steam and air conditioning supply",ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Settled,Award dated 24 August 2001 Declaration of Santiaqo Torres Bernárdez,10.00 mln USDAwarded through settlementData not available,,Data not available,Not applicable - settled or discontinued before decision on liability,Type of follow-on proceedings None,success
28,Lemire v. Ukraine (I),Lemire v. Ukraine (I),1998.0,http://www.italaw.com/cases/612,Ukraine - United States BIT (1994),Ukraine,United States of America,Details of investment Indirect majority shareholding in Ukrainian joint stock company licensed to broadcast on various radio frequencies in Ukraine. Summary of the dispute Claims arising out of claimant's difficulties in obtaining licenses for radio frequencies and broadcasting channels in Ukraine.,Economic sector | Tertiary: J - Information and communication | Economic subsector | 60 - Programming and broadcasting activities,ICSID AF (ICSID Additional Facility),ICSID (International Centre for Settlement of Investment Disputes),Settled,Award (embodying the parties' agreement) dated 18 September 2000,Data not availableAwarded through settlementNon-pecuniary relief,,Data not available,Not applicable - settled or discontinued before decision on liability,Type of follow-on proceedings None,success
29,Wena Hotels v. Egypt,Wena Hotels v. Egypt,1998.0,http://www.italaw.com/cases/1162,Egypt - United Kingdom BIT (1975),Egypt,United Kingdom,"Details of investment Rights under two long-term hotel lease and development agreements concluded with a company wholly owned by the Egyptian Government. Summary of the dispute Claims arising out of the alleged breach of agreements to develop and manage two hotels in Luxor and Cairo, Egypt, as well as an alleged campaign of continual harassment to the investor by the Government of Egypt.",Economic sector | Tertiary: L - Real estate activities | Economic subsector | 68 - Real estate activities,ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Decided in favour of investor,Decision on Jurisdiction dated 29 June 1999 Award dated 8 December 2000,62.80 mln USD,8.00 mln USD (8.00 mln USD),"Indirect expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsFull protection and security, or similar","Indirect expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsFull protection and security, or similar","Type of follow-on proceedings ICSID annulment proceedings ICSID annulment proceedings Status Award/decision upheld Decisions Decision on Application for Annulment dated 5 February 2002 ICSID Annulment Committee Kerameus, K. D. (President) Bucher, A. (Member) Orrego Vicuña, F. (Member)",success
30,Mitchell v. Democratic Republic of the Congo,Mitchell v. Democratic Republic of the Congo,1999.0,http://www.italaw.com/cases/709,"Congo, Democratic Republic of the - United States BIT (1984)","Congo, Democratic Republic of the",United States of America,"Details of investment Ownership of local legal consulting firm. Summary of the dispute Claims arising out of the seizure by Congolese military forces of the premises of Mr. Mitchell's legal consulting firm, in which documents qualified as compromising and other items were seized and the employees of the firm were forced to leave the premises.","Economic sector | Tertiary: M - Professional, scientific and technical activities | Economic subsector | 69 - Legal and accounting activities",ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Decided in favour of investor,Final Award dated 9 February 2004 Dissenting Opinion by Yawovi Agboyibo (Final Award),Data not available,0.75 mln USD,Direct expropriation,Direct expropriation,"Type of follow-on proceedings ICSID annulment proceedings ICSID annulment proceedings Status Award/decision annulled in its entirety Decisions Decision on the Application for Annulment of the Award dated 1 November 2006 ICSID Annulment Committee Dimolitsa, A. (President) Dossou, R. (Member) Giardina, A. (Member)",success
